"","species_scientific","species_common","corrected_comnam"
"1","<i>Cribrinopsis fernaldi</i>","crimson anenome","Crimson Anenome"
"2","<i>Laqueus sp.</i>","brachiopods","Lampshell"
"3","<i>Placiphorella velata</i>","vieled chiton","Veiled Chiton"
"4","<i>NA</i>","unknown shrimps","Unknown Shrimps"
"5","<i>Psolus chitonoides</i>","creeping pedal sea cucumber","Creeping Pedal Sea Cucumber"
"6","<i>Sebastes flavidus</i>","yellowtail rockfish","Yellowtail Rockfish"
"7","<i>Pycnopodia helianthoides</i>","sunflower sea star","Sunflower Sea Star"
"8","<i>Gorgonocephalus eucnemis</i>","basket star","Basket Star"
"9","<i>NA</i>","green urchins","Green Sea Urchin"
"10","<i>Sebastes maliger</i>","quillback rockfish","Quillback Rockfish"
"11","<i>Solaster paxillatis</i>","orange sun star","Orange Sun Star"
"12","<i>NA</i>","stylaster coral","Stylaster Coral"
"13","<i>Alaria marginata</i>",NA,"Ribbon Kelp"
"14","<i>Aphrocallistes vastus</i>","cloud sponge","Cloud Sponge"
"15","<i>Urticina crassicornis</i>","painted anenome","Painted Anenome"
"16","<i>Stylaster sp.</i>","stylaster","Stylaster Sp."
"17","<i>Laqueus sp.</i>","lampshells","Lampshell"
"18","<i>NA</i>","crustone corallines","Crustose Corallines"
"19","<i>NA</i>","zooanthids","Zooanthids"
"20","<i>NA</i>","plumose anenome","Plumose Anenome"
"21","<i>Sebastes ciliatus</i>","dusky rockfish","Dusky Rockfish"
"22","<i>Lopholithodes mandtii</i>","puget sound king crab","Puget Sound King Crab"
"23","<i>NA</i>","hydroid spp","Hydroid Sp."
"24","<i>Hildenbrandia sp.</i>","hildenbrandia","Rusty Rock"
"25","<i>NA</i>","green urchin","Green Sea Urchin"
"26","<i>Serpula columbiana</i>","calcareous tube worm","Calcareous Tube Worm"
"27","<i>Solaster sp.</i>","solaster spp","Solaster Sp."
"28","<i>Hydrolagus colliei</i>","rat fish","Spotted Ratfish"
"29","<i>Phyllolithodes papillosus</i>","heart crab","Heart Crab"
"30","<i>NA</i>","stick bryo","Stick Bryozoan"
"31","<i>NA</i>","sea perch","Sea Perch"
"32","<i>Cribrinopsis fernaldi</i>","crimson anenome","Crimson Anenome"
"33","<i>NA</i>","orange crust bryozoan","Orange Encrusting Bryozoan"
"34","<i>Parastichopus californicus</i>","california cucumber","California Sea Cucumber"
"35","<i>Evasterias troschelii</i>","mottled star","Mottled Star"
"36","<i>Ceratostoma foliatum</i>","ceratostoma","Leafy Hornmouth"
"37","<i>Cucumaria sp.</i>","cucmaria","Cucumaria"
"38","<i>Metacarcinus magister</i>","dungeness crab","Dungeness Crab"
"39","<i>Strongylocentrotus droebachiensis</i>","green sea urchin","Green Sea Urchin"
"40","<i>Ceramaster patagonicus</i>","cookie star","Cookie Star"
"41","<i>Solaster stimpsoni</i>","striped sun star","Striped Sun Star"
"42","<i>Protula pacifica</i>","white-crowned calcareous tubeworm","White-Crowned Calcareous Tubeworm"
"43","<i>Stylaster verrillii</i>","branching pink hydrocoral","Branching Pink Hydrocoral"
"44","<i>hydroid sp.</i>","unkown hydroid","Unkown Hydroid"
"45","<i>Crossaster papposus</i>","rose star","Rose Star"
"46","<i>Clathromorphum sp.</i>","crustose corallines","Crustose Corallines"
"47","<i>Parastichopus californicus</i>","giant sea cucumber","Giant Sea Cucumber"
"48","<i>Henricia leviuscula</i>","blood star","Blood Star"
"49","<i>Ceratostoma foliatum</i>","leafy hornmouth","Leafy Hornmouth"
"50","<i>Pycnopodia helianthoides</i>","sunflower star","Sunflower Star"
"51","<i>Halocynthia aurantium</i>","pacific sea peach tunicate","Pacific Sea Peach Tunicate"
"52","<i>Schizoporella japonica</i>","orange encrusting bryozoan","Orange Encrusting Bryozoan"
"53","<i>Mediaster aequalis</i>","vermilion star","Vermilion Star"
"54","<i>Cucumaria miniata</i>","red sea cucumber","Red Sea Cucumber"
"55","<i>Ascidia paratropa</i>","glassy tunicate","Glassy Tunicate"
"56","<i>Pandalus danae</i>","coonstripe shrimp","Coonstripe Shrimp"
"57","<i>Eumastia sitiens</i>","breast sponge","Breast Sponge"
"58","<i>Epizoanthus scotinus</i>","orange zoanthid","Orange Zoanthid"
"59","<i>Nucella lamellosa</i>","wrinkled dogwinkle","Wrinkled Dogwinkle"
"60","<i>Isodictya rigida</i>","orange finger sponge","Orange Finger Sponge"
"61","<i>Cribrinopsis fernaldi</i>","crimson anemone","Crimson Anenome"
"62","<i>Rhabdocalyptus dawsoni</i>","sharp-lipped boot sponge","Sharp-Lipped Boot Sponge"
"63","<i>Staurocalyptus dowlingi</i>","wide-lipped boot sponge","Wide-Lipped Boot Sponge"
"64","<i>Pandalas platyceros</i>","spot prawn","Spot Prawn"
"65","<i>Solaster endeca</i>","northern sun star","Northern Sun Star"
"66","<i>Halipteris willemoesi</i>","sea whip","Sea Whip"
"67","<i>Lopholithodes foraminatus</i>","brown box crab","Brown Box Crab"
"68","<i>Cnemidocarpa finmarkiensis</i>","broadbase tunicate","Broadbase Tunicate"
"69","<i>Enteroctopus dofleini</i>","giant Pacific octopus","Giant Pacific Octopus"
"70","<i>Microporina borealis</i>","stick bryozoan","Stick Bryozoan"
"71","<i>Mytilus trossulus</i>","pacific blue mussel","Pacific Blue Mussel"
"72","<i>Alaria marginata</i>","broad winged-kelp","Ribbon Kelp"
"73","<i>Ulva sp.</i>","sea lettuce","Sea Lettuce"
"74","<i>Laqueus californicus</i>","California lamp shell","California Lampshell"
"75","<i>Hydrolagus colliei</i>","spotted ratfish","Spotted Ratfish"
"76","<i>Phyllolithodes papillosus</i>","heart crab","Heart Crab"
"77","<i>Metacarcinus magister</i>","dungeness crab","Dungeness Crab"
"78","<i>Gephyreaster swifti</i>","gunpowder star","Gunpowder Star"
"79","<i>Hippasteria phrygiana</i>","spiny red star","Spiny Red Star"
"80","<i>Laqueus californicus</i>","California lampshell","California Lampshell"
"81","<i>Acantholithodes hispidus</i>","hairy-spined crab","Hairy-Spined Crab"
"82","<i>Ptilosarcus gurneyi</i>","orange sea pen","Orange Sea Pen"
"83","<i>Chaetopterus sp.</i>","parchment tubeworm","Parchment Tubeworm"
"84","<i>Ophiodon elongatus</i>","lingcod","Lingcod"
"85","<i>Glebocarcinus oregonensis</i>","pygmy redrock crab","Pygmy Redrock Crab"
"86","<i>Ronquilus jordani</i>","northern ronquil","Northern Ronquil"
"87","<i>Metridium farcimen</i>","giant plumose anemone","Giant Plumose Anemone"
"88","<i>Jordania zonope</i>","longfin sculpin","Longfin Sculpin"
"89","<i>Pteraster tesselatus</i>","slime star","Slime Star"
"90","<i>Chorilia longipes</i>","longhorn decorator crab","Longhorn Decorator Crab"
"91","<i>Mytilus trossulus</i>","tiny grey mussel","Bay Mussel"
"92","<i>Placetron wosnessenskii</i>","scaled crab","Scaled Crab"
"93","<i>Chlamys hastata</i>","spiny pink scallop","Spiny Pink Scallop"
"94","<i>Fusitriton oregonensis</i>","Oregon triton","Oregon Triton"
"95","<i>Bispira sp.</i>","twin-eyed feather-duster","Twin-Eyed Feather-Duster"
"96","<i>Tresus capax</i>","horse clam","Horse Clam"
"97","<i>Saccharina latissima</i>","sugar wrack kelp","Sugar Wrack Kelp"
"98","<i>Hildenbrandia sp.</i>","rusty rock","Rusty Rock"
"99","<i>Oxylebius pictus</i>","painted greenling","Painted Greenling"
"100","<i>Psolus chitonoides</i>","creeping pedal sea cucumber","Creeping Pedal Sea Cucumber"
"101","<i>Myxilla lacunosa</i>","sulphur sponge","Sulphur Sponge"
